componente;MAT;CURSO
914008;9453;
914008;9458;
914008;20131;
914008;15127;
914008;18030;
914023;9458;
914023;11583;
914023;15127;
914023;9453;
914023;10920;
914026;15127;
914026;20131;
914026;9458;
914026;11583;
914027;9458;
914027;11583;
914027;15127;
914027;18030;
914027;9148;
914027;9453;
914028;9453;
914028;9458;
914028;20131;
914028;15127;
914028;18030;
914030;11583;
914030;9458;
914030;9453;
914030;15127;
914030;20131;
914031;9458;
914032;23709;
914032;20131;
914032;9458;
914032;15127;
914032;9453;
914032;11583;
914034;9453;
914034;19342;
914034;9458;
914034;15127;
914034;20131;
914035;11583;
914035;20131;
915014;13550;
915014;12031;
915016;12031;
915021;16043;
915021;12031;
915023;16043;
915023;12031;
915028;16043;
915028;12031;
915030;16043;
915031;16043;
915031;12367;
915031;12031;
915032;16043;
915032;12031;
915033;13550;
915033;12031;
915036;16043;
915036;12031;
916025;13550;
916032;13690;
916033;13690;
916041;13690;
916041;13550;
916042;13550;
916042;13690;
916043;13690;
916043;13550;
916044;13690;
916044;13550;
916045;13690;
916045;13550;
916049;13690;
916050;13690;
916051;13550;
916051;13690;
916052;13690;
916052;13550;
916053;13690;
916053;13550;
916054;13550;
916055;13550;
916056;13550;
916056;13690;
916057;13550;
916058;13690;
916059;13690;
916059;13550;
916060;13690;
918004;15921;
918008;13550;
918030;11201;
918030;17927;
918031;19660;
918031;15400;
918033;15400;
918033;17273;
918037;19660;
918040;19660;
918041;19660;
918043;18817;
918043;17273;
918043;15400;
918043;19660;
918048;19660;
918048;15400;
918053;17273;
918054;19660;
918054;18817;
918054;15400;
918056;19660;
918060;17273;
918063;19660;
918063;18817;
918063;15400;
918087;17273;
918087;16238;
918089;15400;
918089;16238;
918090;15400;
918090;19660;
918097;11201;
918097;20014;
918097;17927;
918106;10320;
918106;11201;
918106;20014;
918106;17927;
918108;13777;
918108;13690;
918110;15921;
918110;13777;
918110;9148;
918111;12031;
918111;16043;
918112;12031;
918112;16043;
918113;5295;
918113;16238;
918114;5295;
918114;16238;
918114;13550;
918115;13777;
918115;15921;
918115;5786;
918115;10320;
918116;13690;
918116;13550;
918116;20014;
918118;17273;
918119;17273;
918120;5324;
918120;5786;
918120;14556;
918121;5295;
918121;16238;
918121;13550;
918121;25638;
918122;5295;
918122;16238;
918122;13550;
918122;25638;
918123;15921;
918124;15921;
918125;13690;
918127;13690;
918129;13690;
918129;13550;
918131;15400;
918131;14606;
918131;21371;
918131;27678;
918132;15400;
918132;13550;
918132;17927;
918132;11201;
918132;16238;
918133;19660;
918133;18817;
918133;15400;
918134;19660;
918134;13550;
918134;15400;
918135;13550;
918135;15400;
918135;19660;
918136;5295;
918136;16238;
918137;13550;
918137;15921;
918137;18817;
918138;28448;
918138;16238;
918138;5295;
918139;15400;
918139;19660;
918139;13550;
918139;18817;
918140;13550;
918141;13550;
918142;5295;
918142;16238;
918143;16238;
918144;17273;
918145;17273;
918146;17273;
918146;13550;
918147;13550;
918147;17273;
918148;17273;
918149;15400;
918149;19660;
918150;15400;
918150;19660;
918151;19660;
918151;18817;
